Date,Close,High,Low,Open,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Next_Close,Target_Return,Target_Class
2020-01-02,5.970755577087402,5.970755577087402,5.891364923914794,5.941886291814731,237536000,237536000.0,237536000,1.0,0.0,0.0,0.0,0.0,5.944292026029866,50.0,1000.0,5.970755577087402,5.970755577087402,5.970755577087402,0.0,0.0,0.0,0.0,5.944292026029866,6.023682679202476,5.864901372857258,2.671155886183243,0.666666666666663,0.0,0.0,5.891364923914794,5.970755577087402,5.931060250501098,1.329658401647989,1.0,0.0,0.0,0.0,0.0,0.0,5.970755577087402,5.970755577087402,5.970755577087402,5.970755577087402,0.0,0.0,0.0,-90.23327118414531,1.0,57.53044864260291,-905.9741362316402,-905.9741362316402,0.0,5.931060250501098,5.931060250501098,5.931060250501098,5.931060250501098,0.0,0.0,0.0,0.0,0.0,62.3684636065481,60.51911113783752,0.0,0.0,0.0,5.7557269623863725,5.970755577087402,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.970755577087402,0.0,0.0,0.0,5.875186920166016,-0.016006124465742427,0
2020-01-03,5.875186920166016,5.918989028814216,5.826158464010726,5.8510460365310895,205384000,249099089.79341334,32152000,0.562401990863843,-19628273.03314209,-0.0026435044637989577,-0.0026435044637989577,-3287401.8672720483,5.911439850057818,0.0,983.9938755342575,5.922971248626709,6.018539905548096,5.827402591705322,3.2270511846075607,0.25,0.0,0.0,5.908868415180093,5.994979024168142,5.822757806192044,2.9146226633454146,0.304428888554534,0.0,0.0,5.826158464010726,5.970755577087402,5.898457020549064,2.441293516496508,0.33906939849684875,0.0,0.0,-0.00762371052364319,-0.001524742104728638,-0.006098968418914552,5.922971248626709,5.922971248626709,5.956052706791804,5.9636764173154475,0.00047830273511573695,0.0025036537808637203,-0.0020253510457479834,-0.003126196184715318,2.0269039528662818,57.578232971063606,-906.7266310708778,-906.350383651259,-0.376247419618835,5.898457020549064,5.898457020549064,5.898457020549064,5.898457020549064,0.0,0.0,0.0,0.0,-66.6666666666675,62.3684636065481,60.51911113783752,0.0,4.0,-4.0,5.7557269623863725,5.970755577087402,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,21.888899102071374,33.906939849684875,66.95346992484244,-66.09306015031513,0.0,0.0,-0.1278357508047864,-0.025567150160957283,-0.10226860064382912,-1.09070135706696,-0.21814027141339198,-0.8725610856535679,5.935735498299303,-1.6006124465742455,-1.6135605999804348,-1.6006124465742455,5.899825096130371,0.004193598654672125,1
2020-01-06,5.899825096130371,5.905051443474641,5.7557269623863725,5.781858699107725,262636000,493350603.1893935,294788000,0.69923663492252,-15899823.745182583,-0.0023984469247893664,-0.002520975694294162,-2186011.891003568,5.889885176377134,0.0,983.9938755342575,5.915255864461263,5.996281350244452,5.834230378678074,2.739542891795725,0.4047783041240763,0.0,0.0,5.890423777007993,5.997605676696115,5.783241877319871,3.63919146552693,0.5438568412658006,0.0,0.0,5.7557269623863725,5.970755577087402,5.863241269736887,3.635153231374443,0.6701346885592361,0.0,0.0,-0.01154438466867358,-0.0035286706175176263,-0.008015714051155953,5.915255864461263,5.915255864461263,5.947402305151583,5.958946689820257,0.001839553816992948,0.005316738926331179,-0.003477185109338231,-0.007400544115279304,3.177173915353801,57.58594835522905,-906.848130879586,-906.5162993940347,-0.33183148555133357,5.863241269736887,5.863241269736887,5.863241269736887,5.863241269736887,0.0,0.0,0.0,0.0,-68.4805558265313,62.3684636065481,60.51911113783752,0.0,8.0,-8.0,5.7557269623863725,5.970755577087402,0.0,1.0,21.73052324725596,0.0,0.0,0.0,-99.42873411038909,51.73325849249746,67.0134688559236,66.97346956853616,-32.986531144076395,0.0,0.0,-0.1937319675706278,-0.05920011364289139,-0.13453185392773642,0.009285535796052999,-0.172655109971503,0.18194064576755598,5.922337524996989,0.41935986546721704,0.41848300260254323,-1.1879649073096354,5.971252918243408,0.012106769429467631,1
2020-01-07,5.971252918243408,6.017045883969803,5.88315121870379,5.928197495492935,314856000,592840442.2134564,609644000,0.5809814488789393,-10415637.730267584,0.005090721832860932,1.6256814757535827e-05,1625877.1044808966,5.910640259129867,40.604473275823246,983.9938755342575,5.929255127906799,6.014552252911173,5.843958002902426,2.877161571372156,0.7461852631870969,0.0,0.0,5.907105334499079,6.020965425581673,5.793245243416484,3.8550215252679245,0.7816947673869176,0.0,0.0,5.7557269623863725,6.017045883969803,5.886386423178088,4.407280778887371,0.8247621509804282,0.0,0.0,-0.008786632053412013,-0.004580262904696504,-0.004206369148715509,5.929255127906799,5.929255127906799,5.951071630242634,5.959858262296046,0.006337885333718809,0.005681818142390288,0.0006560671913285214,-0.009909869550330318,4.362321386176579,57.571949091783516,-906.627674218684,-906.5441431001971,-0.08353111848691697,5.886386423178088,5.886386423178088,5.886386423178088,5.886386423178088,0.0,0.0,0.0,0.0,76.49339285953127,62.3684636065481,60.51911113783752,12.0,8.0,4.0,5.7557269623863725,5.970755577087402,1.0,0.0,53.36782318868026,0.0,0.0,0.0,-97.3020203638919,55.44646227223539,82.47621509804281,61.13220793455043,-17.523784901957182,0.0,0.0,-0.14743021841641832,-0.07684613459759679,-0.07058408381882153,2.557887478821689,0.3734534077871355,2.1844340710345533,5.941437562639937,1.2106769429467645,1.20340686889846,0.00832961841403801,5.982451915740967,0.0018754853714776254,1
2020-01-08,5.982451915740967,6.023765219861093,5.926952946804154,5.967021611212417,277108000,633444397.4961758,886752000,0.4881962493804917,-8484356.369007435,0.0008825185563547654,0.00023282225015684323,2145589.104800291,5.924967024141722,56.28176043559686,985.8393416534456,5.939894485473633,6.027253597752595,5.85253537319467,2.941436501695586,0.7435775110181767,0.0,0.0,5.921228939759677,6.031679467237141,5.810778412282214,3.7306622865335948,0.7771511253931377,0.0,0.0,5.7557269623863725,6.023765219861093,5.889746091123733,4.51250873446025,0.8458678827815372,0.0,0.0,-0.005632499781782485,-0.004790710280113701,-0.0008417895016687845,5.939894485473633,5.939894485473633,5.9558993664731466,5.961531866254929,0.008746102374345213,0.007222089702125014,0.0015240126722201996,-0.010743242274668049,5.494203788536188,57.561309734216685,-906.4601284579766,-906.5273401717529,0.06721171377637347,5.889746091123733,5.889746091123733,5.889746091123733,5.889746091123733,0.0,0.0,0.0,0.0,81.53665629411574,62.3684636065481,60.51911113783752,16.0,8.0,8.0,5.7557269623863725,5.970755577087402,0.0,0.0,56.34713627171234,0.0,0.0,0.0,-95.31123789598495,55.747775297485305,84.58678827815372,78.02549074404004,-15.413211721846281,0.0,0.0,-0.09448074602544825,-0.08037305688316708,-0.014107689142281166,3.2523163134189264,0.9492259889134937,2.3030903245054324,5.957556163591492,0.18754853714775255,0.18737288446724065,0.19589377763928884,6.048154354095459,0.010982526776624247,1
2020-01-09,6.048154354095459,6.120576999500233,5.994397505336159,6.068811004490261,255112000,595705549.7906358,1141864000,0.3836746568347399,-4877808.251507629,0.004062094621906855,0.0009986767245068456,4947363.47583843,5.946230179667584,64.9162808609974,996.666348620604,5.9579377969106035,6.071387788099251,5.844487805721956,3.8083644058007944,0.8976049545691056,0.0,0.0,5.943420164184833,6.056492186110066,5.830348142259602,3.8049479525814416,0.9631304372529929,0.0,0.0,5.7557269623863725,6.120576999500233,5.938151980943303,6.123763784560615,0.8015002383508806,0.0,0.0,0.002144094656254758,-0.003403749292840009,0.0055478439490947665,5.9579377969106035,5.9579377969106035,5.970092441491964,5.967948346835709,0.01204810056865168,0.00770894229203367,0.004339158276618011,-0.008246888142014963,6.637485720641239,57.54326642277971,-906.175987209654,-906.4687813447364,0.29279413508243124,5.938151980943303,5.938151980943303,5.938151980943303,5.938151980943303,0.0,0.0,0.0,0.0,138.81572854080792,62.3684636065481,60.51911113783752,20.0,8.0,12.0,5.766448492685361,5.970755577087402,0.0,0.0,68.90072183106578,0.0,0.0,0.0,-92.12753070717166,54.22526499394005,80.15002383508805,82.40434240376153,-19.849976164911943,0.0010202194641708573,0.0,0.03592682998658303,-0.05711307950921706,0.0930399094958001,3.05628489417003,1.370637769964801,1.6856471242052289,5.995667564978274,1.0982526776624146,1.0922656779804862,1.2962978639599942,6.080508708953857,0.005349459184435322,1
2020-01-10,6.080508708953857,6.185782829312582,6.066323043308651,6.155420169305074,316296000,354528875.7329858,1458160000,0.189696379813982,-2719042.3549648263,0.00258961287053954,0.001263832748845628,6639376.018038614,5.974093960217978,71.86903333038839,996.666348620604,5.975447927202497,6.111060287764921,5.8398355666400725,4.538985602905708,0.8873569537306276,0.0,0.0,5.967341787471528,6.08132634712229,5.8533572278207675,3.8202792368981595,0.9964133819048056,0.0,0.0,5.7557269623863725,6.185782829312582,5.970754895849478,7.1970481906206984,0.7552082683787971,0.0,0.0,0.01079340812597085,-0.0005643178090778374,0.011357725935048687,5.975447927202497,5.975447927202497,5.987079559563025,5.976286151437054,0.015296284837772503,0.008619621706613206,0.006676663131159296,-0.0025512753895321726,7.7693482463485495,57.52575629248782,-905.9002423555672,-906.3875614891409,0.48731913357369194,5.970754895849478,5.970754895849478,5.970754895849478,5.970754895849478,0.0,0.0,0.0,0.0,138.9950393356081,62.3684636065481,60.51911113783752,24.0,8.0,16.0,5.787696203094254,5.970755577087402,0.0,0.0,73.01598453828984,0.0,0.0,0.0,-88.74271650860767,49.420041054813176,75.52082683787971,80.08587965037383,-24.479173162120297,0.0245886876597039,0.0,0.18060393783814174,-0.009569676039745303,0.19017361387788706,4.757444912008082,2.047999198373457,2.709445713634625,6.032136228148316,0.5349459184435412,0.5335201651776034,1.8381782749176567,6.271145820617676,0.03135216489092361,1
2020-01-13,6.271145820617676,6.296282128119939,6.140984150343223,6.163632128120506,319840000,570831190.2251542,1778000000,0.2608002265316169,6379874.237823815,0.004495222078471704,0.0017254597959350676,16667052.436751626,6.012385804315001,76.64519468684533,996.666348620604,6.0124101638793945,6.245531736496774,5.779288591262015,7.754679613107518,1.0549371811311121,1.0,0.0,6.000941234832622,6.1200899717491275,5.881792497916118,3.971001623042157,1.6338961401428995,1.0,0.0,5.7557269623863725,6.296282128119939,6.026004545253156,8.990656841428525,0.9534990892776837,0.0,0.0,0.03265445285034385,0.006079436322806501,0.02657501652753735,6.0124101638793945,6.0124101638793945,6.03078206126374,5.998127608413396,0.01916246320932549,0.00935204072762252,0.009810422481702968,0.01128681282376949,8.943131341851021,57.48879405581092,-905.3181709266692,-906.2538876688319,0.9357167421627537,6.026004545253156,6.026004545253156,6.026004545253156,6.026004545253156,0.0,0.0,0.0,0.0,157.36334865275384,62.3684636065481,60.51911113783752,28.000000000000004,8.0,20.000000000000004,5.81954313319172,5.970755577087402,0.0,0.0,85.33211283699954,0.0,0.0,0.0,-81.5299297090815,59.636280497623254,95.34990892776837,83.6735865335787,-4.650091072231629,0.07031942221672693,0.0,0.5444107725307546,0.1012264136743547,0.44318435885639995,6.0754203241146225,2.8534834235216904,3.221936900592932,6.134013609530404,3.135216489092363,3.0870722744883894,5.031025632384156,6.154175281524658,-0.01865217975133874,0
2020-01-14,6.154175281524658,6.2537250915044345,6.140984569750498,6.228339569543208,359088000,295770232.7804063,1418912000,0.11608592980937943,-531924.5021272282,-0.0006680612034011675,0.0014262696710180382,9969278.514202915,6.036426306765328,64.4623321774077,996.666348620604,6.028161843617757,6.265326245189471,5.790997442046042,7.868547916403718,0.7656668477052131,0.0,0.0,6.021165725139353,6.139602438148906,5.9027290121298,3.934012728301433,1.061521647323061,1.0,0.0,5.7557269623863725,6.296282128119939,6.026004545253156,8.967164116634873,0.7371094467251399,0.0,0.0,0.04007893830104692,0.012879336718454584,0.027199601582592332,6.028161843617757,6.028161843617757,6.049765633611574,6.009686695310527,0.02103880670042667,0.011974409095287386,0.009064397605139286,0.026131786072438868,10.06893154671169,57.473042376072556,-905.0701176821375,-906.1223576703103,1.0522399881728006,6.026004545253156,6.026004545253156,6.026004545253156,6.026004545253156,0.0,0.0,0.0,0.0,97.1389594967391,62.3684636065481,60.51911113783752,28.000000000000004,8.0,20.000000000000004,5.867217032684542,5.970755577087402,0.0,0.0,65.55974754802517,0.0,0.0,0.0,-76.0692387497422,55.96185646522111,73.71094467251399,81.52722681272068,-26.289055327486007,0.09730978248394706,0.0,0.666905619760865,0.21436225489165678,0.45254336486920826,8.09340690243323,3.9014681193039986,4.191938783129231,6.14287816930704,-1.8652179751338704,-1.8828325428792203,3.071968062821462,6.111617088317871,-0.006915336541445337,0
2020-01-15,6.111617088317871,6.189266079309119,6.085734091320788,6.166867313650455,263104000,164218232.78040856,1155808000,0.05842069356391002,-2055539.6968916976,-0.0023552970584786613,0.0010060955899628492,8149825.808802469,6.045079201891625,57.790688174069075,989.7740654003591,6.0365073680877686,6.267005910530116,5.806008825645421,7.636818060088432,0.6629288398838551,0.0,0.0,6.0319363945903435,6.148882635097775,5.914990154082913,3.877568755940876,0.8406723182455113,0.0,0.0,5.7557269623863725,6.296282128119939,6.026004545253156,8.954766933462762,0.6583789194735262,0.13292394026584847,0.0,0.04204414723537475,0.01871229882183862,0.02333184841353613,6.0365073680877686,6.0365073680877686,6.059281242027927,6.017237094792552,0.02182208166512869,0.014807439159544591,0.007014642505584097,0.03956255101512202,11.14680817030048,57.46469685160255,-904.9386945922517,-906.0073085992672,1.0686140070154124,6.026004545253156,6.026004545253156,6.026004545253156,6.026004545253156,0.0,0.0,0.0,0.0,58.3736811624749,62.3684636065481,60.51911113783752,28.000000000000004,8.0,20.000000000000004,5.910123542228082,5.970755577087402,0.0,0.0,60.10300243973476,0.0,0.0,0.0,-71.85308400493587,49.60172553363939,65.83789194735263,78.29958184921166,-34.162108052647376,0.11775474093893212,0.0,0.6987284458470262,0.3112354930827307,0.3874929527642955,6.821366532495768,4.485447801942353,2.3359187305534146,6.129085198217725,-0.6915336541445383,-0.6939358290897202,2.359190715677939,6.195240020751953,0.01368261971024398,1
