Date,Close,High,Low,Open,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Next_Close,Target_Return,Target_Class,Sentiment_Score,Predicted_Price,Signal,Signal_Text,Confidence,Explanation,Risk_Level
2025-07-18,184.64378356933594,186.00072543502688,183.2968289565469,184.98301522964096,34014500,1276118031.290239,3228205200,0.1533072759587873,30210085.97733864,22.16811687720275,8.840232960436838,27370900.57544321,178.57244990527528,71.55423313340337,3937.154851446698,176.21977691650392,187.34120084146176,165.09835299154608,12.622219956875066,0.8787287810298966,0.0,0.0,179.58253054048043,183.53661650484798,175.62844457611288,4.403642105350825,1.1400029076840066,1.0,0.0,161.63565348702906,186.00072543502688,173.81818946102797,13.826525248379145,0.9443079064741917,3.9692523958077808,1.1468136771088409,3.3592799034751977,2.779130144224313,0.5801497592508849,179.50536982218424,175.99175203763522,179.91859529315684,176.55931538968164,1.2044078533348574,0.8511285971175987,0.35327925621725875,0.22739843915257574,25.259039094805043,2.0184432983398324,48.980106859312315,44.446669830152885,4.53343702915943,179.1910857528764,173.81818946102797,176.5046376069522,166.66493377975917,99.96505930014858,21.254303916674385,30.429980843118077,16.716090537483705,138.4979121945828,168.36084189014454,160.37353223481165,100.0,28.000000000000004,72.0,173.6968841235457,176.82777646080555,0.0,0.0,66.6170307715532,1.0,1.0,1.0,21.652152250011593,58.66360194522009,90.03661038595202,91.54444438092953,-9.96338961404797,8.041633372857063,5.243394617102048,1.9026353245995415,1.5900176328618814,0.3126176917376602,-6.6147398522883964,-4.31795936406907,-2.2967804882193263,175.57422013222492,0.8061785193836046,0.8029462605879445,172.04292952966495,189.67245483398438,0.027234446605455914,1,-0.9661389589309692,183.85118103027344,0,HOLD,0.2,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (66.6) and positive MACD momentum. Model predicts price drop of 0.43%. Combined with negative news sentiment.,High
2025-07-21,189.67245483398438,189.86201471908177,185.73132654425748,185.83110772544197,45803100,1317717265.006639,3274008300,0.27800664883199666,58798464.095121525,28.388834361010083,8.853541803746156,28618322.656757567,179.7297250533289,70.69993345758985,3937.154851446698,177.3901382446289,188.99114632368068,165.78913016557712,13.079653912951434,1.0293641942864409,1.0,0.0,180.7389237532144,184.7448916640724,176.7329558423564,4.432877907724908,1.6150277884847772,1.0,0.0,161.63565348702906,189.86201471908177,175.7488341030554,15.912023921604538,0.9932842960685226,4.0941502712015865,1.0905976780947861,3.8885300164461967,3.0010101186686895,0.8875198977775072,180.45822270711264,176.4810339120718,181.41918906866877,177.53065905222257,1.1821693996557547,0.8029416670429027,0.37922773261285203,0.24402491487303382,25.25951813884325,1.7360824584960994,54.30081169779677,45.8014821084007,8.49932958939607,181.12173039490384,175.7488341030554,178.4352822489796,168.5955784217866,99.9825296500743,22.48382780563324,34.286624204114034,15.236317921111148,177.7263731505359,168.36084189014454,160.37353223481165,100.0,24.0,76.0,175.41942190715307,176.82777646080555,0.0,0.0,72.22106163702547,1.0,1.0,1.0,25.129944077566464,63.42358708219718,98.91559657519937,94.33331418818942,-1.0844034248006251,8.801850185352833,6.4151418283677275,2.190342804564446,1.7100826672023943,0.48026013736205164,-3.913994098463923,-4.237166310948041,0.32317221248411787,179.17827739464414,2.723444660545593,2.687018785922035,179.4518681683324,190.90966796875,0.006522893036042198,1,-0.8904120326042175,184.05935668945312,0,HOLD,0.2,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (72.2) and positive MACD momentum. Model predicts price drop of 2.96%. Combined with negative news sentiment.,High
2025-07-22,190.90966796875,191.21896833519165,187.03840453704987,191.0693117786785,44660200,1355769066.2870705,3318668500,0.315921094156036,58292138.658855565,12.468768726161315,11.313326188691724,28909636.364325818,181.0110705004854,78.53962211365595,3962.8364914090193,178.69469757080077,190.21520598686195,167.1741891547396,12.894068567979334,1.0301402488851914,1.0,0.0,182.24652663600443,186.15770701849357,178.33534625351527,4.292186473655911,1.6074842484293954,1.0,0.0,165.756367987998,191.21896833519165,178.48766816159483,14.24921986680947,0.987852758075601,4.102791623895605,1.0135294206827634,4.357565995861222,3.272321294107196,1.0852447017540259,181.4401766459147,177.08121959979718,182.87926274560434,178.5216967497431,1.2220438142894847,0.6943998622456207,0.527643952043864,0.2645833541661302,25.22292226562596,-2.3023178100585824,61.781757796518754,47.885126449437365,13.896631347081389,182.60338500945636,176.42731091111034,179.51534796028335,169.27405522984154,99.99126482503715,23.835056597958637,34.156915831070705,14.155201292975288,173.31148239021837,168.36084189014454,160.37353223481165,100.0,20.0,80.0,177.73023675706165,176.82777646080555,0.0,0.0,73.40401492746534,1.0,1.0,1.0,28.389377662033844,65.4281095394788,98.35806237094621,95.77008977736585,-1.6419376290537817,9.507818787954506,6.5782927922955,2.4409167486066323,1.856249483483242,0.5846672651233904,-2.042807452902851,-3.798294539339003,1.755487086436152,184.3922287609134,0.6522893036042143,0.6501711031333457,181.27470281311662,189.80215454101562,-0.005801243276561897,0,-0.06809040904045105,185.340087890625,0,HOLD,0.0,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (73.4) and positive MACD momentum. Model predicts price drop of 2.92%. Combined with neutral sentiment.,High
2025-07-23,189.80215454101562,192.09698471753413,188.7545130229886,191.06930248089483,58681900,1333872874.8374429,3259986600,0.3013926086714759,40680262.819738224,7.387958590593162,9.847266874579393,28569208.38649494,182.27481959218545,79.90637515368644,3962.8364914090193,179.86505889892578,190.89508089688343,168.83503690096813,12.264774565421192,0.950456746320625,0.0,0.0,183.68029278324906,187.26022059494932,180.10036497154883,3.8979988080971966,1.355025866409726,1.0,0.0,167.17317715297744,192.09698471753413,179.6350809352558,13.85694793481956,0.9079261797951809,4.026759630960599,1.0253198332991404,4.587036806058137,3.5352643964973844,1.0517724095607526,182.55765787760416,177.67833533653845,183.94432302182145,179.3572862157633,1.2270516478280185,0.7260595552992711,0.5009920925287473,0.2850204506270444,25.237161153806678,-5.897209167480469,68.30401501564744,50.75144265869693,17.552572356950506,184.09003314756455,176.86631910228158,180.47817612492307,171.8855402968157,99.99563241251857,25.224342185993436,33.70271631239249,13.340175009768195,156.70808551946718,169.447080328046,160.37353223481165,100.0,16.0,84.0,180.15820844112505,176.82777646080555,0.0,0.0,70.50941705634278,0.8618293049223138,0.953943101640771,0.9846477005469237,30.295529929392256,63.41188611147444,88.36029683170733,95.21131859261762,-11.639703168292666,10.329883784144897,7.6022415472042475,2.557485621487393,1.9964967110840723,0.5609889104033206,2.192429501196445,-2.6001497312319137,4.792579232428359,186.22608812257607,-0.5801243276561951,-0.5818135851979989,179.64295983455509,191.73780822753906,0.010198270357911817,1,-0.2659400502840678,187.16200256347656,0,HOLD,0.2,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (70.5) and positive MACD momentum. Model predicts price drop of 1.39%. Combined with negative news sentiment.,High
2025-07-24,191.73780822753906,197.50480780114538,190.57044138213487,196.58687870624138,74881700,1284203114.5087752,3334868300,0.21742515172244858,55575230.79665306,33.447517500228024,11.038153530669897,29332872.20795498,183.86798603928085,81.93837184041564,3962.8364914090193,180.93714294433593,192.20406237614077,169.6702235125311,12.453959699442173,0.9793087120475211,0.0,0.0,185.36616179779438,189.235438366768,181.49688522882073,4.174738831992875,1.3233640470206618,1.0,0.0,169.55779452756443,197.50480780114538,183.5313011643549,15.445702755557855,0.7936452272322778,4.3943489938775135,1.0253198332991404,4.86895882543871,3.80200328228565,1.0669555431530604,184.03848775227866,178.26931117131159,185.143320745778,180.2743619203393,1.192568342705793,0.6602803572835586,0.5322879854222343,0.3060234578312085,25.410220964134382,-4.714364624023432,74.0374206686217,54.197764663108,19.839656005513703,188.39034413913305,179.57023064408722,183.98028739161015,174.5894518386213,99.99781620625929,27.226455501469818,38.26680599376244,11.672280517978129,171.8484102626721,169.71614204753007,160.37353223481165,100.0,12.0,88.0,182.54596369640686,176.82777646080555,0.0,0.0,72.54702742402552,0.9590925702652954,0.9403072917292028,0.9647501311233246,32.538983831631555,57.86545204590484,77.04527110866853,87.921210103774,-22.95472889133147,11.961697501244515,10.21450717677162,2.7008603850115054,2.137369445869559,0.5634909391419463,8.107835316769405,-0.45855272163165006,8.566388038401055,188.12495799975065,1.0198270357911765,1.014661887247481,182.49483434263456,192.74551391601562,0.005255644141298925,1,0.02774903178215027,188.00527954101562,0,HOLD,0.0,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (72.5) and positive MACD momentum. Model predicts price drop of 1.95%. Combined with neutral sentiment.,High
2025-07-25,192.74551391601562,193.8929365997576,190.82983399147875,191.54821586623893,39785900,1294181822.2653909,3374654200,0.1932279580647807,53363408.93301115,-12.905308060756038,10.771629718585627,29541972.740196288,184.8795675168795,80.69619809967777,3983.663749798019,181.91693420410155,193.70091257203214,170.13295583617096,12.955339665860421,0.9594619649584314,0.0,0.0,186.7187788972172,190.4004793163505,183.03707847808386,3.943578081302664,1.3184716751366141,1.0,0.0,171.34375470263782,197.50480780114538,184.4242812518916,14.380768460596515,0.8180771291121587,4.261224355317648,0.9406918421039867,5.114737968758504,4.064550219580221,1.0501877491782832,185.4153823852539,178.9305132352389,186.31288892581455,181.19815095705604,1.226200305115261,0.7140704520145102,0.5121298531007508,0.32692647902983946,25.49431759776018,-4.696429443359364,77.83390518269367,58.15918088767454,19.674724295019132,188.78945157149633,179.57023064408722,184.1798411077918,176.56259361892904,99.99890810312965,29.085560722983598,36.321972808083146,11.079060417308584,141.41398078542773,171.0091539873441,160.37353223481165,96.0,8.0,88.0,185.53773251735456,176.82777646080555,0.0,0.0,73.57082052578195,1.0,0.9403072917292028,0.9448525616997255,34.717995667439375,59.49436732672183,81.05630155630335,82.15395649889307,-18.943698443696636,12.807564511199587,9.376049880266027,2.8227318776396877,2.274441932223585,0.5482899454161028,6.287231212636206,0.8906040652219211,5.396627147414285,189.67277049968274,0.5255644141298976,0.5241881443796004,183.97952666369463,192.14688110351562,-0.003105819691143838,0,-0.9661389589309692,188.575927734375,0,HOLD,0.2,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (73.6) and positive MACD momentum. Model predicts price drop of 2.16%. Combined with negative news sentiment.,High
2025-07-28,192.14688110351562,193.61357622809174,190.41078895772904,193.2144667106556,38139500,1297389861.6458187,3336514700,0.08457816636606226,42478413.9208176,-2.932450532935007,12.469053640809651,29423518.330085907,186.07830136970196,80.49824782369663,3971.2912084810005,182.61785507202148,195.06602148128678,170.1696886627562,13.633022252239185,0.8827481782538507,0.0,0.0,187.8016721146818,191.4055480901849,184.19779613917868,3.837959412099797,1.1028521817023995,1.0,0.0,172.3814460707259,197.50480780114538,184.94312693593565,13.75734137306083,0.7867352802892477,4.155380646822154,0.547211744990253,5.201258178980481,4.291891811460274,0.9093663675202075,186.65924708048502,179.66961611234225,187.2104261839224,182.00916800494193,1.2761064811771614,0.6860299836341346,0.5900764975430268,0.34544746530593606,25.28095474747885,-2.833110809326172,80.85322554862134,62.22280136931923,18.63042417930211,188.78945157149633,179.57023064408722,184.1798411077918,176.56259361892904,99.99945405156483,30.641643885443667,34.35584387436931,11.187575997121026,118.8194652185742,171.8163516020274,160.37353223481165,92.0,4.0,88.0,187.9311475741127,176.82777646080555,0.0,0.0,71.85646781300785,0.9045215971420515,0.9545380558024487,0.945050879753618,36.0699828374403,57.83966162509463,78.67352802892476,78.9250335646322,-21.32647197107523,13.064083579298682,8.422488336169057,2.857690211978364,2.391091588174541,0.4665986238038231,4.482781126375233,1.6090394774525836,2.8737416489226497,190.35223842205124,-0.3105819691143874,-0.3110652758806509,183.09753745790084,195.3097381591797,0.016460621361634963,1,-0.10552757978439331,188.99465942382812,0,HOLD,0.0,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (71.9) and positive MACD momentum. Model predicts price drop of 1.64%. Combined with neutral sentiment.,High
2025-07-29,195.3097381591797,195.47935398479527,191.64799419278697,191.9971978721824,41389200,1335114428.8727694,3377903900,0.17669275297855344,55111229.539028086,14.362012638466608,12.69569066854147,30104810.27974689,187.42920682132043,80.58341581325942,3971.2912084810005,183.59165954589844,196.789210619092,170.3941084727049,14.377070402693459,0.9439489776661156,0.0,0.0,188.99664288964797,192.72224456811938,185.2710412111766,3.9425056673061754,1.347258485255186,1.0,0.0,172.3814460707259,197.50480780114538,184.94312693593565,13.68436986329358,0.9126283470532572,4.122978561340768,0.33433080255194575,5.462078756341469,4.525929200436513,0.9361495559049562,187.95299657185873,180.78671264648438,188.45647418011583,182.99439542377436,1.313578813609997,0.6629705979560382,0.6506082156539589,0.36432685801954773,25.076302459100695,-2.44000244140625,86.40424914521311,66.68249175120577,19.72175739400734,188.78945157149633,179.57023064408722,184.1798411077918,178.2816353091509,99.99972702578242,32.330086213089324,35.29076753938721,10.458266613473889,123.54963556804945,171.38792194155457,160.37353223481165,88.0,0.0,88.0,189.84587961951925,176.82777646080555,0.0,0.0,75.1510902256212,1.0,0.9681738657140168,0.9543397377485561,38.267198075140136,61.82714395761211,90.66603278068075,83.46528745530294,-9.333967219319243,13.405839612620213,8.635323291836034,2.9848339036244846,2.5098400512645296,0.47499385235995506,3.5947416039904025,2.0061799027601475,1.588561701230255,191.8340912624519,1.6460621361634953,1.6326613898228537,187.75749883040658,196.08799743652344,0.003984743846768458,1,-0.010114431381225586,189.85215759277344,0,HOLD,0.0,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (75.2) and positive MACD momentum. Model predicts price drop of 2.79%. Combined with neutral sentiment.,High
2025-07-30,196.08799743652344,197.155598285003,194.2521393007246,195.1600963397073,32445400,1343699504.5101247,3410349300,0.15120936062986892,50845472.97018535,19.152075615171704,13.768379585573582,30234096.88775283,188.46351558967476,80.7971746443339,3987.1157866877206,184.62383270263672,198.33041472786022,170.91725067741322,14.84811773710702,0.9181992532051325,0.0,0.0,190.31001691123515,194.09648147218562,186.52355235028466,3.979259339477196,1.262978291791791,1.0,0.0,172.3814460707259,197.50480780114538,184.94312693593565,13.607864901648028,0.9436058605601949,4.001026603634533,0.17586630374023052,5.666262811938424,4.7539959227368955,0.9122668892015282,189.19769159952799,181.98938633845404,189.63055468110161,183.9642918691632,1.3387786131429538,0.605902379149197,0.7328762339937568,0.38266080580124734,24.976378157017447,-3.0331497192382812,91.18634702368765,71.52020432645696,19.666142697230683,190.40081837884614,181.6305878945717,186.0157031367089,179.57023064408722,99.99986351289121,34.103383221859936,36.42439776117727,9.929977675958039,124.32018186501557,171.16916063493846,161.61921101651623,84.0,0.0,84.0,190.41078895772904,176.82777646080555,0.0,0.0,75.89873668036546,1.0,0.9681738657140168,0.963628595743494,40.31306922126976,58.17084068528129,93.38610553679685,87.57522211546744,-6.613894463203155,13.929280441074894,8.245213193614699,3.0800883988770567,2.623889720787035,0.45619867809002157,1.1893436840209235,1.8428126590123028,-0.6534689749913793,193.09939800399104,0.39847438467683904,0.3976825782342708,188.90413875323256,191.46839904785156,-0.023558802420669867,0,-0.8393967747688293,190.708984375,0,HOLD,0.2,⚠️ HOLD Signal: Strong uptrend detected with bullish RSI (75.9) and positive MACD momentum. Model predicts price drop of 2.74%. Combined with negative news sentiment.,High
2025-07-31,191.46839904785156,195.54921195775628,190.66022322341527,195.26984291287636,51329200,1309340283.6946838,3359020100,0.07138948068256099,9707506.887042243,-24.756319885730054,9.381977735737204,29024842.406541783,189.36847589029665,72.6256291815599,3987.1157866877206,185.28534164428712,198.9723582226582,171.59832506591604,14.773987469173422,0.7258730881255464,0.0,0.0,191.33636903254023,195.25453742796736,187.4182006371131,4.095581425777736,0.5168484355426659,0.0,0.0,172.3814460707259,197.50480780114538,184.94312693593565,13.559281866264191,0.7597292584461377,4.143701364581896,0.6537352626057606,5.393148308116764,4.881826399812869,0.5113219083038949,190.02083460489908,182.95375061035156,189.9132999682939,184.52015166017713,1.2209342621164212,0.6843264187793585,0.5366078433370627,0.3938744735893134,24.917503403207533,-2.7268547058105526,94.0414485307434,76.5270200677271,17.5144284630163,191.61806717270144,182.33899247706142,186.97852982488143,179.57023064408722,99.9999317564456,34.32688510334658,33.06212225870261,15.122009119684973,79.19730371086156,170.9845743940139,162.05769114766372,80.0,0.0,80.0,190.41078895772904,197.50480780114538,0.0,1.0,63.65566016435308,0.11566301575523175,0.7052210052517437,0.8805229122265924,38.39754837569686,49.37990209756815,66.88555148641034,83.64589660129597,-33.114448513589664,13.303101351363324,5.439550037573334,2.9227963773025154,2.6836710520901312,0.23912532521238417,2.808717160954708,2.035993559400784,0.772723601553924,192.94957652632385,-2.3558802420669878,-2.3840748011240365,182.09790322983133,188.70465087890625,-0.014434487271471882,0,-0.965286374092102,191.5395050048828,1,BUY,0.6000000000000001,📈 BUY Signal: Strong uptrend detected with bullish RSI (63.7) and positive MACD momentum. Model predicts price increase of 0.04%. Supported by negative news sentiment.,Medium
